TM,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX,RN_JUN
201601010000,108,0,0.1,-9,-9.0,-9,1022.1,1033.2,8,-0.2,-1.9,-4.0,85.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,500,-9.0,-9.00,-9,-0.8,-0.3,0.1,1.3,2.0,-9,-9.0,-9,3,1
201601010100,108,9,1.6,-9,-9.0,-9,1022.0,1033.1,-9,-9.0,-2.1,-4.6,83.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,-9,-9,-9,-,-9,-9,-9,600,-9.0,-9.00,-9,-0.9,-0.3,0.1,1.3,2.0,-9,-9.0,-9,3,-9
201601010200,108,0,0.4,-9,-9.0,-9,1022.2,1033.3,-9,-9.0,-2.2,-4.2,86.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,19,-9,-9,-9,-,-9,-9,-9,500,-9.0,-9.00,-9,-1.0,-0.4,0.1,1.3,2.0,-9,-9.0,-9,3,-9
201601010300,108,9,1.8,-9,-9.0,-9,1022.2,1033.3,1,0.1,-2.5,-3.9,90.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,400,-9.0,-9.00,4,-1.0,-0.5,0.1,1.4,2.0,-9,-9.0,-9,3,1
201601010400,108,7,1.9,-9,-9.0,-9,1022.0,1033.1,-9,-9.0,-2.9,-4.3,90.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,0,0,-9,-,-9,-9,-9,400,-9.0,-9.00,-9,-1.2,-0.7,0.1,1.3,2.0,-9,-9.0,-9,3,1
201601010500,108,9,2.0,-9,-9.0,-9,1021.9,1033.0,-9,-9.0,-3.2,-4.3,92.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,0,19,2,2,10,Sc,0,0,5,400,-9.0,-9.00,-9,-1.2,-0.9,0.1,1.3,2.0,-9,-9.0,-9,3,1
201601010600,108,9,1.3,-9,-9.0,-9,1022.1,1033.2,5,-0.1,-3.1,-4.5,90.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,21,19,8,8,10,Sc,0,0,5,400,-9.0,-9.00,-9,-0.6,-0.7,0.1,1.4,2.0,-9,-9.0,-9,3,1
201601010700,108,9,1.6,-9,-9.0,-9,1022.2,1033.3,-9,-9.0,-2.6,-4.3,88.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,8,8,10,Sc,0,0,5,500,-9.0,-9.00,-9,-0.7,-0.4,0.1,1.4,2.0,-9,-9.0,-9,3,1
201601010800,108,9,2.4,-9,-9.0,-9,1022.2,1033.3,-9,-9.0,-2.4,-4.1,88.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,8,8,10,Sc,0,0,5,400,0.0,0.01,-9,-0.5,-0.4,0.2,1.4,2.0,-9,-9.0,-9,3,1
201601010900,108,9,2.0,-9,-9.0,-9,1022.5,1033.6,2,0.4,-2.0,-4.3,84.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,10,22,19,7,7,10,Sc,0,0,5,400,0.1,0.20,4,-0.2,-0.3,0.2,1.4,2.0,-9,-9.0,-9,3,1
